"Please indicate how sensitive people would consider the following information to be -even if some people and organizations already have access to it. Do so by choosing one of the following ratings: 
4) very sensitive, 3) somewhat sensitive, 2) not too sensitive, 1) not at all sensitive.\nInformation: Their social security number",0
"Please indicate how sensitive people would consider the following information to be -even if some people and organizations already have access to it. Do so by choosing one of the following ratings: 
4) very sensitive, 3) somewhat sensitive, 2) not too sensitive, 1) not at all sensitive.\nInformation: State of their health and the medications they take",0
"Please indicate how sensitive people would consider the following information to be -even if some people and organizations already have access to it. Do so by choosing one of the following ratings: 
4) very sensitive, 3) somewhat sensitive, 2) not too sensitive, 1) not at all sensitive.\nInformation: Content of their phone conversations",0
"Please indicate how sensitive people would consider the following information to be -even if some people and organizations already have access to it. Do so by choosing one of the following ratings: 
4) very sensitive, 3) somewhat sensitive, 2) not too sensitive, 1) not at all sensitive.\nInformation: Content of their email messages",0
"Please indicate how sensitive people would consider the following information to be -even if some people and organizations already have access to it. Do so by choosing one of the following ratings: 
4) very sensitive, 3) somewhat sensitive, 2) not too sensitive, 1) not at all sensitive.\nInformation: Details of their physical location over a period of time",0
"Please indicate how sensitive people would consider the following information to be -even if some people and organizations already have access to it. Do so by choosing one of the following ratings: 
4) very sensitive, 3) somewhat sensitive, 2) not too sensitive, 1) not at all sensitive.\nInformation: Their religious and spiritual views",0
"Please indicate how sensitive people would consider the following information to be -even if some people and organizations already have access to it. Do so by choosing one of the following ratings: 
4) very sensitive, 3) somewhat sensitive, 2) not too sensitive, 1) not at all sensitive.\nInformation: Who their friends are and what they are like",0
"Please indicate how sensitive people would consider the following information to be -even if some people and organizations already have access to it. Do so by choosing one of the following ratings: 
4) very sensitive, 3) somewhat sensitive, 2) not too sensitive, 1) not at all sensitive.\nInformation: Their political views and the candidates they support",0
"Please indicate how sensitive people would consider the following information to be -even if some people and organizations already have access to it. Do so by choosing one of the following ratings: 
4) very sensitive, 3) somewhat sensitive, 2) not too sensitive, 1) not at all sensitive.\nInformation: The media they like",0
"Please indicate how sensitive people would consider the following information to be - even if some people and organizations already have access to it. Do so by choosing one of the following ratings: 
4) very sensitive, 3) somewhat sensitive, 2) not too sensitive, 1) not at all sensitive.\nInformation: Their basic purchasing habits—things like the foods and clothes and stores they prefer",0
"Please indicate how much people would agree with the statement ""the following scenario meets my privacy expectations"". Do so by choosing one of these ratings: -100) strongly disagree, -50) somewhat disagree, 0) Neutral 50) somewhat agree, 100) strongly agree.
Information about your friends and what they like is collected by your school or university in order to Place students in groups for class.",1
